applicant_id,jurisdiction,age,age_group,gender,protected_group,income,employment_status,credit_score,debt_to_income,loan_amount,loan_term_months,loan_purpose,prior_default,region_risk_score,default_next_12m,model_score,approved,manual_review,decision_reason_1,decision_reason_2
APP-00001,US,37,35-49,Male,1,32701,Unemployed,597,0.261,19155,24,Credit card consolidation,0,0.493,0,0.1419,1,0,Approved,Approved
APP-00002,Singapore,34,25-34,Male,0,75033,Full-time,850,0.542,31139,48,Small business,1,0.591,0,0.1206,1,0,Approved,Approved
APP-00003,US,29,25-34,Female,0,64786,Part-time,637,0.213,27196,48,Education,0,0.948,0,0.1285,1,0,Approved,Approved
APP-00004,EU,66,65+,Female,1,84366,Part-time,717,0.225,56770,60,Personal,1,0.538,0,0.1123,1,0,Approved,Approved
APP-00005,US,44,35-49,Male,0,58904,Full-time,829,0.479,28281,24,Credit card consolidation,0,0.583,0,0.0378,1,0,Approved,Approved
APP-00006,EU,18,18-24,Female,0,50928,Part-time,719,0.249,36347,12,Credit card consolidation,0,0.738,0,0.0509,1,0,Approved,Approved
APP-00007,UK,31,25-34,Male,1,49016,Full-time,699,0.392,28212,36,Credit card consolidation,0,0.662,0,0.0963,1,0,Approved,Approved
APP-00008,UK,54,50-64,Female,0,39331,Full-time,680,0.215,20876,60,Home improvement,0,0.48,0,0.0636,1,0,Approved,Approved
APP-00009,EU,56,50-64,Female,0,119909,Part-time,583,0.104,53135,48,Education,0,0.521,0,0.0674,1,0,Approved,Approved
APP-00010,US,68,65+,Female,0,50318,Full-time,645,0.362,57618,60,Home improvement,0,0.482,0,0.1545,1,0,Approved,Approved
APP-00011,US,61,50-64,Male,1,45135,Full-time,637,0.498,9648,48,Home improvement,0,0.625,1,0.2834,0,0,High debt-to-income ratio,Elevated regional portfolio risk
APP-00012,US,73,65+,Female,0,80380,Part-time,573,0.122,88121,36,Education,0,0.614,0,0.1085,1,0,Approved,Approved
APP-00013,US,20,18-24,Female,1,64062,Full-time,552,0.372,83190,48,Credit card consolidation,0,0.561,1,0.2535,0,0,Low credit score,Elevated regional portfolio risk
APP-00014,US,73,65+,Male,1,21294,Full-time,560,0.545,28769,48,Personal,0,0.651,1,0.523,0,0,Low credit score,High debt-to-income ratio
APP-00015,US,58,50-64,Male,0,40160,Part-time,690,0.114,35695,36,Small business,0,0.39,0,0.0375,1,0,Approved,Approved
APP-00016,US,74,65+,Female,1,59242,Full-time,727,0.336,120662,60,Home improvement,0,0.668,0,0.0882,1,0,Approved,Approved
APP-00017,UK,69,65+,Female,0,31994,Full-time,699,0.378,50593,24,Auto,0,0.504,0,0.1029,1,0,Approved,Approved
APP-00018,Singapore,37,35-49,Female,0,74492,Part-time,680,0.151,51091,36,Auto,0,0.289,0,0.0345,1,0,Approved,Approved
APP-00019,EU,59,50-64,Male,0,61605,Part-time,659,0.415,79229,36,Auto,0,0.619,0,0.1949,1,1,Approved,Approved
APP-00020,US,42,35-49,Female,0,30206,Part-time,712,0.224,27256,36,Credit card consolidation,0,0.327,0,0.0387,1,0,Approved,Approved
APP-00021,Singapore,45,35-49,Male,1,89602,Self-employed,668,0.387,92396,36,Home improvement,0,0.13,0,0.069,1,0,Approved,Approved
APP-00022,EU,56,50-64,Male,1,113430,Full-time,616,0.215,25846,36,Personal,0,0.439,0,0.0602,1,0,Approved,Approved
APP-00023,US,65,65+,Male,0,153691,Full-time,644,0.23,21454,60,Education,0,0.47,0,0.0467,1,0,Approved,Approved
APP-00024,US,48,35-49,Female,1,48265,Unemployed,556,0.562,35604,36,Personal,0,0.292,0,0.4402,0,0,Low credit score,High debt-to-income ratio
APP-00025,UK,55,50-64,Female,1,27447,Unemployed,645,0.622,14281,36,Education,0,0.292,0,0.3311,0,0,High debt-to-income ratio,Low credit score
APP-00026,EU,22,18-24,Male,1,51347,Full-time,588,0.084,5414,36,Education,0,0.597,0,0.0665,1,0,Approved,Approved
APP-00027,Singapore,70,65+,Male,1,108584,Self-employed,765,0.265,33370,36,Auto,0,0.536,0,0.0247,1,0,Approved,Approved
APP-00028,US,29,25-34,Male,1,56798,Part-time,670,0.186,8994,60,Education,0,0.549,0,0.0602,1,0,Approved,Approved
APP-00029,US,59,50-64,Male,1,138978,Full-time,540,0.262,22119,60,Education,0,0.519,1,0.1449,1,0,Approved,Approved
APP-00030,UK,36,35-49,Male,0,57387,Full-time,634,0.437,93669,36,Credit card consolidation,0,0.297,0,0.1367,1,0,Approved,Approved
APP-00031,US,37,35-49,Female,1,72287,Full-time,632,0.323,17015,12,Auto,0,0.468,0,0.1001,1,0,Approved,Approved
APP-00032,US,30,25-34,Male,1,28217,Full-time,524,0.198,16711,24,Home improvement,1,0.501,0,0.39,0,0,Low credit score,Prior default history
APP-00033,US,56,50-64,Female,0,72089,Full-time,649,0.456,13138,60,Auto,0,0.671,0,0.2173,0,1,High debt-to-income ratio,Elevated regional portfolio risk
APP-00034,EU,71,65+,Male,0,33548,Full-time,801,0.242,98632,36,Personal,0,0.484,0,0.0226,1,0,Approved,Approved
APP-00035,US,43,35-49,Female,0,36286,Self-employed,653,0.34,24850,48,Auto,0,0.651,1,0.1444,1,0,Approved,Approved
APP-00036,EU,66,65+,Female,0,119304,Full-time,696,0.619,17490,48,Personal,0,0.655,1,0.1973,1,1,Approved,Approved
APP-00037,EU,33,25-34,Female,0,34995,Part-time,561,0.35,57351,36,Education,0,0.613,0,0.3002,0,0,Low credit score,Elevated regional portfolio risk
APP-00038,EU,72,65+,Male,1,36108,Full-time,838,0.393,48863,36,Small business,0,0.525,0,0.0344,1,0,Approved,Approved
APP-00039,US,40,35-49,Male,0,42334,Full-time,803,0.083,57981,48,Home improvement,0,0.462,0,0.0109,1,0,Approved,Approved
APP-00040,EU,47,35-49,Male,0,48627,Full-time,776,0.02,7427,24,Home improvement,0,0.108,0,0.0059,1,0,Approved,Approved
APP-00041,EU,54,50-64,Male,0,37229,Part-time,727,0.406,21021,12,Home improvement,0,0.43,0,0.0873,1,0,Approved,Approved
APP-00042,US,39,35-49,Female,0,127466,Full-time,821,0.047,23370,60,Home improvement,0,0.336,0,0.0043,1,0,Approved,Approved
APP-00043,US,70,65+,Male,0,18000,Full-time,727,0.238,23529,60,Home improvement,0,0.293,1,0.0432,1,0,Approved,Approved
APP-00044,EU,66,65+,Female,0,69221,Full-time,481,0.079,43854,60,Small business,0,0.707,0,0.2179,0,1,Low credit score,Elevated regional portfolio risk
